122, I WANT TO KNOW
122, I HAVE NO IDEA
122, I GUESS
121, OPEN FACEBOOK
121, HOW IS YOUR DAY
121, HI ALICE
121, CAN YOU TELL ME A JOKE
120, YOU DO
120, SLUT
120, SAY
120, ARE YOU HUMAN
119, WHAT YOU SEE
119, WHAT SHOULD I DO
119, WHAT IS THIS
119, SEND TEXT
119, MORNING
119, I AM A GIRL
119, HOW OLD ARE U
119, HOT
118, YEAH YEAH
118, NO WAY
118, IS IT
118, I DID NOT SAY THAT
118, I AM HORNY
117, YOUR STUPID
117, THANK YOU THANK YOU
117, EXPLAIN
116, WHO IS YOUR FATHER
116, SHOW ME A PICTURE
116, NVM
116, INTERESTING
116, HOW OLD R U
116, HO
116, ARE YOU HUNGRY
115, YOUR FUNNY
115, BLACK
115, ARE YOU SEXY
115, ALWAYS
114, THAT IS OKAY
114, HTTP SLASH 1 POINT 0
113, YES I HAVE
113, TEACH ME ENGLISH
113, OK THEN
113, OK THANKS
113, HEY HOW ARE YOU
113, 0
112, THAT IS FUNNY
112, I DO NOT GET IT
112, HAPPY
112, F ASTERISK ASTERISK ASTERISK OFF
111, THAT IS NICE
111, TELL ME SOMETHING AMAZING
111, LISTEN
111, JERK
111, IPHONE
111, FIRST
110, YOUR UGLY
110, YOU ARE A BITCH
110, HI MITSUKU
110, GOOD FOR YOU
109, YOU ARE CRAZY
109, YES YOU DID
109, WOMAN
109, WHERE DO YOU WORK
109, WHERE ARE YOU GOING
109, ROBOT
109, JUST KIDDING
109, HELLO ALICE
109, CAN YOU SING
109, ARE YOU A BOY
108, WHAT R U DOING
108, PROVE IT
108, PARDON
108, OH OKAY
108, EBAY
108, CAN YOU SEE ME
107, THX
107, I WANT TO F ASTERISK ASTERISK ASTERISK YOU
107, AHA
106, WHEN IS MY BIRTHDAY
106, TOMORROW
106, I MEAN
106, GO ON
106, CAT
105, YOU ARE BEAUTIFUL
105, WHAT ARE YOU DOING TODAY
105, OK SORRY
105, IT IS OKAY
105, I THINK
105, I HAVE TO GO
105, FREE
105, CUNT
105, CHRISTMAS
105, CHICKEN
104, WHAT HAPPENED
104, SEARCH
104, SAME HERE
104, REPEAT
104, LIFE
104, LEARN
104, IM BORED
104, I SAID
104, CONTACT
104, ANOTHER JOKE
103, YESTERDAY
103, YEH
103, TEST
103, I HAVE
103, HOE
103, GOOD JOB
102, WHAT IS YOUR LAST NAME
102, THAT IS CORRECT
102, INCREASE
102, HAH
102, GREEN
101, WHERE DO YOU COME FROM
101, WHAT IS THE WEATHER LIKE TODAY
101, SO DO I
101, SAY SOMETHING
101, I DO NOT NO
101, HOUSE
101, GO AWAY
101, ASSHOLE
100, YOUR DUMB
100, WHO IS HE
100, WHAT IS MY LOCATION
100, THANK
100, OKAY THEN
100, NO YOU ARE NOT
100, MEAN
100, AWW
99, WORK
99, RAP
99, MONEY
99, DO YOU HAVE
99, DAD
98, YES IT DOES
98, WHY WHY
98, WHO IS YOUR BOT MASTER
98, WHAT IS YOUR RELIGION
98, I WANT TO FUCK YOU
98, HELL
98, BOOK
98, ANOTHER
98, A LOT
97, YOU TOO
97, WHAT WHAT
97, WHAT IS THE WEATHER TODAY
97, WHAT DID YOU SAY
97, TIME
97, OLA
97, I LIKE IT
97, GAME
97, DUH
97, CALL MUM
96, WHAT IS YOUR SECRET
96, WHAT IS THAT MEAN
96, OH YES
96, MINE
96, I WANT YOU
96, ER
96, BEGIN MONSTER PARK
95, Z
95, WHAT IS YOUR HOBBY
95, OPEN
95, GET LOST
95, CHAT
95, CAN YOU TEACH ME
95, ARE YOU REAL
95, ARE YOU A VIRGIN
95, ABSOLUTELY
94, YOU ARE WRONG
94, NEW
94, I KNOW RIGHT
94, CERTAINLY
94, ARE YOU FEMALE
94, ARE YOU BUSY
93, WHAT IS YOUR GENDER
93, SING A SONG
93, SCHOOL
93, OUI
93, JA
93, HII
93, EAT
93, COMO ESTAS
93, CAN
93, ARE YOU BETTER THAN SIRI
93, ALL THE TIME
92, YOUR
92, YOU ARE DUMB
92, YES I CAN
92, WHAT IS 2 PLUS 2
92, WHAT DO YOU WANT TO KNOW
92, SOUP
92, SHUTUP
92, MY MOM
92, HI HI
92, DO NOT MENTION IT
91, WHY DID THE CHICKEN CROSS THE ROAD
91, VERY
91, UGLY
91, STFU
91, SING
91, MEANS
91, LIKE YOU
91, FUN
91, DO YOU SPEAK ENGLISH
90, SAD
90, NOO
90, LOSER
90, IM NOT
90, HOW COME
90, HOW CAN I IMPROVE MY ENGLISH
90, HAY
90, DUNNO
90, DO YOU LIKE IT
90, DO WHAT
90, ARE YOU MY FRIEND
90, ADIOS
89, YOUR MEAN
89, YESS
89, SEE YOU TOMORROW
89, SEE
89, NOTHING MUCH
89, NO NO NO
89, DO YOU LIKE MUSIC
89, CALL DAD
89, ARE YOU A BOY OR GIRL
89, 18
88, WHO IS
88, WHAT IS YOUR FAVORITE
88, OH SORRY
88, NO IDEA
88, I HATE U
88, I DO NOT UNDERSTAND YOU
88, HOW LONG
88, DDD
88, 10001
87, YOU ARE SEXY
87, WHO IS YOUR MASTER
87, TELL ME A DIRTY JOKE
87, CHICKEN SOUP
86, YOU ARE CUTE
86, LATER
86, ARE YOU SMART
86, ABOUT YOU
85, SWEET
85, SQUARE BEAR
85, PAPER
85, OUCH
85, MAINE
85, I CAN
85, DO YOU HAVE A VAGINA
84, YOU DID
84, YOU ARE WEIRD
84, WHERE IS IT
84, WHAT IS MY NAME WHAT IS MY NAME
84, WAKE ME
84, THAT IS TRUE
84, NP
84, NOT SURE
84, IDC
84, I DO NOT KNOW WHY
84, HELL NO
84, ARE YOU EVIL
83, YES I THINK SO
83, WHAT TIME IS IT NOW
83, WHAT DO YOU LIKE TO DO
83, TAKE A PICTURE
83, SPEAK NOW
83, NEWS
83, ISANAME 13
83, I WANT TO SLEEP
83, I KNOW THAT
83, F U
83, BEAUTIFUL
83, ASTERISK
82, YRS
82, I WANT TO SEE YOU
82, DUMBASS
82, DO NOT
82, DAMN
82, BROWN
82, ANYTHING ELSE
81, WHO R U
81, WHO IS BARACK OBAMA
81, SHUT THE FUCK UP
81, ORANGE
